tweet_id,date,location,symptoms
1202284200247922688,2019-12-04,"Texas, USA",fever
1202273548745793536,2019-12-04,"Texas, USA",fever
1202262039533633536,2019-12-04,"Texas, USA",fever
1202198459857555712,2019-12-04,"Texas, USA",fever
1202081896781549568,2019-12-04,"Texas, USA",fever
1202070143263760384,2019-12-04,"Texas, USA",fever
1202062327740293120,2019-12-04,"Texas, USA",fever
1202297570686619648,2019-12-04,"Virginia, USA",cough
1202062647153303552,2019-12-04,"Virginia, USA",fever
1202220628260069376,2019-12-04,"Washington, DC",cough
1202050597664354304,2019-12-04,"Washington, USA",cough
1202061947233018112,2019-12-04,"Wisconsin, USA",fever
1202665595721797632,2019-12-05,"Arizona, USA",cough
1202655896582545408,2019-12-05,"Arizona, USA",cough
1202706506430337024,2019-12-05,"Arizona, USA",fever
1202704482590580736,2019-12-05,"Arizona, USA",fever
1202691980641230848,2019-12-05,"Arizona, USA",fever
1202383624185581568,2019-12-05,"Arizona, USA",fever
1202721474550747136,2019-12-05,"California, USA",cough
1202717131713830912,2019-12-05,"California, USA",cough
1202682600856309760,2019-12-05,"California, USA",cough
1202654441784012800,2019-12-05,"California, USA",cough
1202639877679923200,2019-12-05,"California, USA",cough
1202628439737389056,2019-12-05,"California, USA",cough
1202625917433966592,2019-12-05,"California, USA",cough
1202611507982258176,2019-12-05,"California, USA",cough
1202479585591361536,2019-12-05,"California, USA",cough
1202477283413544960,2019-12-05,"California, USA",cough
1202470642915823616,2019-12-05,"California, USA",cough
1202450996200230912,2019-12-05,"California, USA",cough
1202436708463046912,2019-12-05,"California, USA",cough
1202730817748918272,2019-12-05,"California, USA",fever
1202722875515367424,2019-12-05,"California, USA",fever
1202715480324096000,2019-12-05,"California, USA",fever
1202671114494738432,2019-12-05,"California, USA",fever
1202643099480051712,2019-12-05,"California, USA",fever
1202637498288967680,2019-12-05,"California, USA",fever
1202619506666827776,2019-12-05,"California, USA",fever
1202617735278055424,2019-12-05,"California, USA",fever
1202607879653490688,2019-12-05,"California, USA",fever
1202436137823985664,2019-12-05,"California, USA",fever
1202401510291755008,2019-12-05,"California, USA",fever
1202394818766233600,2019-12-05,"California, USA",fever
1202391204597354496,2019-12-05,"California, USA",fever
1202390640354443264,2019-12-05,"California, USA",fever
1202386140042596352,2019-12-05,"California, USA",fever
1202716326512463872,2019-12-05,"Florida, USA",cough
1202705747588603904,2019-12-05,"Florida, USA",cough
1202637566186577920,2019-12-05,"Florida, USA",cough
1202613428516478976,2019-12-05,"Florida, USA",cough
1202420603053064192,2019-12-05,"Florida, USA",cough
1202735329939247104,2019-12-05,"Florida, USA",fever
1202729969266429952,2019-12-05,"Florida, USA",fever
1202725768180228096,2019-12-05,"Florida, USA",fever
1202693205910835200,2019-12-05,"Florida, USA",fever
1202434972780498944,2019-12-05,"Florida, USA",fever
1202395820659748864,2019-12-05,"Florida, USA",fever
1202395574210826240,2019-12-05,"Florida, USA",fever
1202395007057051648,2019-12-05,"Florida, USA",fever
1202689392453795840,2019-12-05,"Georgia, USA",cough
1202656378030047232,2019-12-05,"Georgia, USA",cough
1202570562356367360,2019-12-05,"Georgia, USA",cough
1202724164223803392,2019-12-05,"Georgia, USA",fever
1202668810010071040,2019-12-05,"Illinois, USA",cough
1202451093067911168,2019-12-05,"Illinois, USA",cough
1202377539047641088,2019-12-05,"Illinois, USA",cough
1202734483067326464,2019-12-05,"Illinois, USA",fever
1202621537829949440,2019-12-05,"Illinois, USA",fever
1202613889181110272,2019-12-05,"Illinois, USA",fever
1202421777454026752,2019-12-05,"Illinois, USA",fever
1202386213417705472,2019-12-05,"Illinois, USA",fever
1202443387103830016,2019-12-05,"Indiana, USA",fever
1202617217982062592,2019-12-05,"Kansas, USA",cough
1202390174518394880,2019-12-05,"Kansas, USA",fever
1202547792134230016,2019-12-05,"Louisiana, USA",fever
1202391861563932672,2019-12-05,"Louisiana, USA",fever
1202571686995992576,2019-12-05,"Massachusetts, USA",cough
1202607577584087040,2019-12-05,"Massachusetts, USA",fever
1202635843011260416,2019-12-05,"Michigan, USA",cough
1202601725925961728,2019-12-05,"Michigan, USA",fever
1202462632642564096,2019-12-05,"Minnesota, USA",fever
1202402311366156288,2019-12-05,"Minnesota, USA",fever
1202392640869679104,2019-12-05,"Missouri, USA",cough
1202676583305224192,2019-12-05,"Missouri, USA",fever
1202631878911545088,2019-12-05,"Nevada, USA",cough
1202736847379738624,2019-12-05,"New_York, USA",cough
1202698167298510848,2019-12-05,"New_York, USA",cough
1202674001753104384,2019-12-05,"New_York, USA",cough
1202643737240907776,2019-12-05,"New_York, USA",cough
1202395086325239808,2019-12-05,"New_York, USA",cough
1202394422933098496,2019-12-05,"New_York, USA",cough
1202722733651628032,2019-12-05,"New_York, USA",fever
1202722625400782848,2019-12-05,"New_York, USA",fever
1202589717260357632,2019-12-05,"New_York, USA",fever
1202579504276881408,2019-12-05,"New_York, USA",fever
1202382599542493184,2019-12-05,"New_York, USA",fever
1202637204440440832,2019-12-05,"North_Carolina, USA",cough
1202709120547049472,2019-12-05,"North_Carolina, USA",fever
1202435276674682880,2019-12-05,"North_Carolina, USA",fever
1202716751265501184,2019-12-05,"Ohio, USA",fever
1202635820852744192,2019-12-05,"Ohio, USA",fever
1202676110145786112,2019-12-05,"Pennsylvania, USA",cough
1202608379081961472,2019-12-05,"Pennsylvania, USA",cough
1202688166492327936,2019-12-05,"Pennsylvania, USA",fever
1202623652707098624,2019-12-05,"Pennsylvania, USA",fever
1202394727011823616,2019-12-05,"Pennsylvania, USA",fever
1202393157343875072,2019-12-05,"Pennsylvania, USA",fever
1202575327748333568,2019-12-05,"Tennessee, USA",cough
1202716764309786624,2019-12-05,"Texas, USA",cough
1202699498532851712,2019-12-05,"Texas, USA",cough
1202695175480496128,2019-12-05,"Texas, USA",cough
1202678498281869312,2019-12-05,"Texas, USA",cough
1202602474668011520,2019-12-05,"Texas, USA",cough
1202591627354750976,2019-12-05,"Texas, USA",cough
1202584201691901952,2019-12-05,"Texas, USA",cough
1202518917660499968,2019-12-05,"Texas, USA",cough
1202449707999649792,2019-12-05,"Texas, USA",cough
1202431479675940864,2019-12-05,"Texas, USA","fever, cough"
1202427263171670016,2019-12-05,"Texas, USA",cough
1202726563294384128,2019-12-05,"Texas, USA",fever
1202616858656100352,2019-12-05,"Texas, USA",fever
1202564945013026816,2019-12-05,"Texas, USA",fever
1202464475540049920,2019-12-05,"Texas, USA",fever
1202442432698355712,2019-12-05,"Texas, USA",fever
1202431938595823616,2019-12-05,"Texas, USA",fever
1202393390740058112,2019-12-05,"Texas, USA",fever
1202413964690374912,2019-12-05,"Virginia, USA",cough
1202546981211688960,2019-12-05,"Washington, DC",fever
1202392620099686400,2019-12-05,"Washington, DC",fever
1202656665830449152,2019-12-05,"Washington, USA",cough
1202617994855112704,2019-12-05,"Washington, USA",cough
1202595987333636096,2019-12-05,"Washington, USA",fever
1202659521342189568,2019-12-05,"Wisconsin, USA",fever
1203031590357520384,2019-12-06,"Arizona, USA",fever
1203030017665421312,2019-12-06,"Arizona, USA",fever
1202869003258982400,2019-12-06,"Arizona, USA",fever
1203035680848240640,2019-12-06,"California, USA",cough
1203025265569329152,2019-12-06,"California, USA",cough
1202989996518412288,2019-12-06,"California, USA",cough
1202846996865806336,2019-12-06,"California, USA",cough
1202826540095983616,2019-12-06,"California, USA",cough
1202807875644477440,2019-12-06,"California, USA",cough
1202788896641208320,2019-12-06,"California, USA",cough
1202785353540628480,2019-12-06,"California, USA",cough
1203097761765195776,2019-12-06,"California, USA",fever
1203012729302183936,2019-12-06,"California, USA",fever
1202918155535863808,2019-12-06,"California, USA",fever
1202836243752484864,2019-12-06,"California, USA",fever
1202790975740887040,2019-12-06,"California, USA",fever
1202777574885097472,2019-12-06,"California, USA",fever
1202764737206841088,2019-12-06,"California, USA",fever
1202760405249978368,2019-12-06,"California, USA",fever
1203080019133771776,2019-12-06,"Colorado, USA",fever
1202935782996168704,2019-12-06,"Colorado, USA",fever
1203011358587080704,2019-12-06,"Connecticut, USA",fever
1203064121895374848,2019-12-06,"Florida, USA",cough
1203082566116532224,2019-12-06,"Florida, USA",fever
1202862171799064576,2019-12-06,"Florida, USA",fever
1202783969294635008,2019-12-06,"Florida, USA",fever
1202781026738745088,2019-12-06,"Florida, USA",fever
1202760112340951040,2019-12-06,"Florida, USA",fever
1202756359437082624,2019-12-06,"Florida, USA",fever
1202994826209304576,2019-12-06,"Georgia, USA",cough
1202805305068920832,2019-12-06,"Georgia, USA",cough
1202762187758026752,2019-12-06,"Georgia, USA",cough
1202749522822254592,2019-12-06,"Georgia, USA",cough
1202932968509059072,2019-12-06,"Georgia, USA",fever
1202953309272858624,2019-12-06,"Illinois, USA",cough
1202867722062839808,2019-12-06,"Illinois, USA",cough
1202741254519427072,2019-12-06,"Illinois, USA",cough
1202739549476184064,2019-12-06,"Illinois, USA",cough
1202969433964236800,2019-12-06,"Illinois, USA",fever
1203075154529665024,2019-12-06,"Indiana, USA",cough
1203094554158731264,2019-12-06,"Indiana, USA",fever
1202751365786882048,2019-12-06,"Kansas, USA",fever
1202838323972194304,2019-12-06,"Massachusetts, USA",cough
1202856335911587840,2019-12-06,"Massachusetts, USA",fever
1202763114942472192,2019-12-06,"Michigan, USA",cough
1202837138502561792,2019-12-06,"Michigan, USA",fever
1202822561047793664,2019-12-06,"Missouri, USA",fever
1202768755224465408,2019-12-06,"Nebraska, USA",fever
1202794715067760640,2019-12-06,"Nevada, USA",cough
1203101457182011392,2019-12-06,"New_Jersey, USA",fever
1203039607593590784,2019-12-06,"New_York, USA",cough
1202780355637530624,2019-12-06,"New_York, USA",cough
1202770500528877568,2019-12-06,"New_York, USA",cough
1202760399562694912,2019-12-06,"New_York, USA",cough
1203047474824466432,2019-12-06,"New_York, USA",fever
1202781223195750400,2019-12-06,"New_York, USA",fever
1202765672033476608,2019-12-06,"New_York, USA",fever
1202750233740009472,2019-12-06,"North_Carolina, USA",fever
1202790941918187520,2019-12-06,"Ohio, USA",cough
1203098306597003264,2019-12-06,"Ohio, USA",fever
1202976980775428096,2019-12-06,"Ohio, USA",fever
1202743402091036672,2019-12-06,"Oregon, USA",cough
1203025234942550016,2019-12-06,"Oregon, USA",fever
1202921265234956288,2019-12-06,"Pennsylvania, USA",cough
1202759664351535104,2019-12-06,"Pennsylvania, USA",fever
1202756099780366336,2019-12-06,"South_Carolina, USA",cough
1203057416352550912,2019-12-06,"Tennessee, USA",cough
1202946014379941888,2019-12-06,"Tennessee, USA",cough
1203018875828346880,2019-12-06,"Tennessee, USA",fever
1202986451253833728,2019-12-06,"Texas, USA",cough
1202954160162914304,2019-12-06,"Texas, USA",cough
1202941017684676608,2019-12-06,"Texas, USA",cough
1202917518320504832,2019-12-06,"Texas, USA",cough
1202858385516957696,2019-12-06,"Texas, USA",cough
1202830154348794112,2019-12-06,"Texas, USA",cough
1202815353895690240,2019-12-06,"Texas, USA",cough
